ID,NAME,VALUE,DATE,DOUBLED_VALUE,SQUARED_VALUE
ID0001,ITEM1,807,07-05-2025,1614,651249
ID0002,ITEM2,142,06-07-2025,284,20164
ID0003,ITEM3,478,07-22-2025,956,228484
ID0004,ITEM4,222,10-25-2025,444,49284
ID0005,ITEM5,162,02-13-2026,324,26244
ID0006,ITEM6,139,06-03-2025,278,19321
ID0007,ITEM7,225,04-19-2025,450,50625
ID0008,ITEM8,825,03-08-2025,1650,680625
ID0009,ITEM9,789,07-23-2025,1578,622521
ID0010,ITEM10,362,05-21-2025,724,131044
ID0011,ITEM11,246,03-27-2025,492,60516
ID0012,ITEM12,348,08-03-2025,696,121104
ID0013,ITEM13,171,01-04-2026,342,29241
ID0014,ITEM14,751,11-24-2025,1502,564001
ID0015,ITEM15,114,04-05-2025,228,12996
ID0016,ITEM16,812,11-28-2025,1624,659344
ID0017,ITEM17,200,02-28-2025,400,40000
ID0018,ITEM18,468,08-08-2025,936,219024
ID0019,ITEM19,366,12-30-2025,732,133956
ID0020,ITEM20,537,04-29-2025,1074,288369
ID0021,ITEM21,860,02-26-2025,1720,739600
ID0022,ITEM22,234,11-15-2025,468,54756
ID0023,ITEM23,446,06-08-2025,892,198916
ID0024,ITEM24,986,08-09-2025,1972,972196
ID0025,ITEM25,73,10-20-2025,146,5329
ID0026,ITEM26,713,05-20-2025,1426,508369
ID0027,ITEM27,121,12-12-2025,242,14641
ID0028,ITEM28,181,08-11-2025,362,32761
ID0029,ITEM29,386,12-21-2025,772,148996
ID0030,ITEM30,64,05-11-2025,128,4096
ID0031,ITEM31,537,04-26-2025,1074,288369
ID0032,ITEM32,631,10-02-2025,1262,398161
ID0033,ITEM33,759,07-18-2025,1518,576081
ID0034,ITEM34,892,10-26-2025,1784,795664
ID0035,ITEM35,495,08-07-2025,990,245025
ID0036,ITEM36,800,10-06-2025,1600,640000
ID0037,ITEM37,621,01-18-2026,1242,385641
ID0038,ITEM38,86,03-08-2025,172,7396
ID0039,ITEM39,921,11-30-2025,1842,848241
ID0040,ITEM40,334,07-13-2025,668,111556
ID0041,ITEM41,87,05-01-2025,174,7569
ID0042,ITEM42,533,08-04-2025,1066,284089
ID0043,ITEM43,278,07-05-2025,556,77284
ID0044,ITEM44,444,04-15-2025,888,197136
ID0045,ITEM45,439,06-10-2025,878,192721
ID0046,ITEM46,775,06-07-2025,1550,600625
ID0047,ITEM47,73,12-01-2025,146,5329
ID0048,ITEM48,884,07-16-2025,1768,781456
ID0049,ITEM49,128,08-20-2025,256,16384
ID0050,ITEM50,931,07-21-2025,1862,866761
